1;59;Bernd;Hahn;2000-02-01;Bernd.Hahn@guest.de
2;60;Thomas;Müller;1994-07-27;Thomas.Müller@guest.de
3;61;Philipp;Schweinsteiger;1990-10-04;Philipp.Schweinsteiger@guest.de
4;62;Svenja;Lahm;1990-10-03;Svenja.Lahm@guest.de
5;63;Bastian;Kruse;1989-11-09;Bastian.Kruse@guest.de
6;64;Friedrich;Meier;1953-06-17;Friedrich.Meier@guest.de
7;65;Robert;Ulrich;2001-04-15;Robert.Ulrich@guest.de
8;66;David ;Heinke;1975-06-19;David.Heinke@guest.de
9;67;Dorotheen;Schmidt;1983-09-17;Dorotheen.Schmidt@guest.de
10;68;Sylvia;Heinrich;1961-06-29;Sylvia.Heinrich@guest.de
