1;Birgitt ;Schmidt;1969-04-20;CEO;10;6217780989;Birgitt.Schmidt@sunshineparks.de;\N;23
2;Rainer ;Zufall;1988-08-15;Resort-Manager ;40;9769814023;Rainer.Zufall@sunshineparks.de;1;47
3;Heinz;Aal;1973-01-05;Resort-Manager ;30;7386451086;Heinz.Aal@sunshineparks.de;1;40
4;Uta;Zaun;1979-09-14;Resort-Manager ;20;2720655062;Uta.Zaun@sunshineparks.de;1;24
5;Sabine;Meier;1993-03-18;Resort-Manager ;10;8722572513;Sabine.Meier@sunshineparks.de;1;25
6;Phillip;Franke;1994-06-10;Instandhaltungsverwalter;10;8920989094;Phillip.Franke@sunshineparks.de;2;26
7;Lukas;Lang;1998-11-27;Instandhaltungsverwalter;20;7422988599;Lukas.Lang@sunshineparks.de;5;27
8;Anna;Antoni;2002-02-22;Instandhaltungsverwalter;30;7533356159;Anna.Antoni@sunshineparks.de;4;41
9;Julia;Junker;1997-07-09;Instandhaltungsverwalter;40;3981770570;Julia.Junker@sunshineparks.de;3;48
10;Maria;Marktgraf;1997-12-24;Instandhaltungskraft;10;5274706867;Maria.Marktgraf@sunshineparks.de;6;28
11;Heinz;Halslos;1966-12-12;Instandhaltungskraft;10;4556560045;Heinz.Halslos@sunshineparks.de;6;29
12;Ernst;Haft;1970-03-17;Instandhaltungskraft;20;9506513565;Ernst.Haft@sunshineparks.de;7;30
13;Elfriede;Ebbe;1959-09-26;Instandhaltungskraft;20;8853172578;Elfriede.Ebbe@sunshineparks.de;7;31
14;Olaf;Olafson;1981-07-06;Instandhaltungskraft;30;2044104112;Olaf.Olafson@sunshineparks.de;8;42
15;Oliver;Obermayer;1978-10-08;Instandhaltungskraft;30;4201993332;Oliver.Obermayer@sunshineparks.de;8;43
16;Ulrich;Untermayer;1973-02-04;Instandhaltungskraft;40;4323050032;Ulrich.Untermayer@sunshineparks.de;9;49
17;Nils;Nase;1981-03-09;Instandhaltungskraft;40;8928720248;Nils.Nase@sunshineparks.de;9;50
18;Zoe;Zahn;1990-10-10;Reinigungsverwalter;10;9014536497;Zoe.Zahn@sunshineparks.de;5;32
19;Ivan;Ilcenko;1978-12-05;Reinigungsverwalter;20;5886757856;Ivan.Ilcenko@sunshineparks.de;4;33
20;Walter;Wacker;1974-11-06;Reinigungsverwalter;30;7577797599;Walter.Wacker@sunshineparks.de;3;44
21;Yvonne;Ilmenau;1989-08-09;Reinigungsverwalter;40;6851225656;Yvonne.Ilmenau@sunshineparks.de;2;51
22;Aaron;Aal;1988-07-16;Reinigungskraft;10;6052582879;Aaron.Aal@sunshineparks.de;18;34
23;Jacob;Krönung;1979-03-14;Reinigungskraft;10;8692744915;Jacob.Krönung@sunshineparks.de;18;35
24;Dieter;Däuble;1958-08-04;Reinigungskraft;10;5219640683;Dieter.Däuble@sunshineparks.de;18;36
25;Dario;Dössler;2002-03-03;Reinigungskraft;10;6952578235;Dario.Dössler@sunshineparks.de;18;37
26;Robin;Horris;1997-01-24;Reinigungskraft;20;9456278823;Robin.Horris@sunshineparks.de;19;38
27;Hendrik;Londeckel;1996-05-10;Reinigungskraft;20;4148768545;Hendrik.Londeckel@sunshineparks.de;19;39
28;Max;Scholenz;2001-09-28;Reinigungskraft;20;8232772295;Max.Scholenz@sunshineparks.de;19;21
29;Yannick;Soltrecht;2001-08-30;Reinigungskraft;20;3659051759;Yannick.Soltrecht@sunshineparks.de;19;22
30;Florenz;Runz;1997-12-06;Reinigungskraft;30;9038676318;Florenz.Runz@sunshineparks.de;20;55
31;Hardy;Part;1955-01-01;Reinigungskraft;30;6792322685;Hardy.Part@sunshineparks.de;20;56
32;Paul;Pulmoll;1977-01-31;Reinigungskraft;30;7514773459;Paul.Pulmoll@sunshineparks.de;20;57
33;Jasper;Kasper;1992-04-15;Reinigungskraft;30;8586253537;Jasper.Kasper@sunshineparks.de;20;58
34;Günther;Gübelmann;1973-03-06;Reinigungskraft;40;7069540479;Günther.Gübelmann@sunshineparks.de;21;4
35;Reiner;Richter;1982-11-29;Reinigungskraft;40;7545761322;Reiner.Richter@sunshineparks.de;21;52
36;Till;Tilsiter;1968-06-08;Reinigungskraft;40;7765232629;Till.Tilsiter@sunshineparks.de;21;53
37;Günther;Gümpel;1959-09-12;Reinigungskraft;40;2799245426;Günther.Gümpel@sunshineparks.de;21;54
